run_accession	sample_accession	study_accession
SRR5440371	SAMN06678643	PRJNA381395
SRR5431386	SAMN06675846	PRJNA381395
SRR5431428	SAMN06675808	PRJNA381395
SRR5431431	SAMN06675806	PRJNA381395
SRR5431451	SAMN06675787	PRJNA381395
SRR5431460	SAMN06675779	PRJNA381395
SRR5431495	SAMN06675747	PRJNA381395
SRR5431496	SAMN06675746	PRJNA381395
SRR5431497	SAMN06675745	PRJNA381395
SRR5431505	SAMN06675737	PRJNA381395
SRR5431509	SAMN06675733	PRJNA381395
SRR5431510	SAMN06675732	PRJNA381395
SRR5431513	SAMN06675729	PRJNA381395
SRR5431515	SAMN06675727	PRJNA381395
SRR5431525	SAMN06675717	PRJNA381395
SRR5431545	SAMN06675697	PRJNA381395
SRR5431557	SAMN06675685	PRJNA381395
SRR5431560	SAMN06678628	PRJNA381395
SRR5431576	SAMN06678628	PRJNA381395
SRR5431270	SAMN06675896	PRJNA381395
SRR5431273	SAMN06675891	PRJNA381395
SRR5431275	SAMN06675889	PRJNA381395
SRR5431294	SAMN06675857	PRJNA381395
SRR5431299	SAMN06675851	PRJNA381395
SRR5431311	SAMN06675839	PRJNA381395
SRR5431314	SAMN06675835	PRJNA381395
SRR5431317	SAMN06675915	PRJNA381395
SRR5431322	SAMN06675910	PRJNA381395
SRR5431327	SAMN06675905	PRJNA381395
SRR5431329	SAMN06675903	PRJNA381395
SRR5431345	SAMN06675887	PRJNA381395
SRR5431364	SAMN06675868	PRJNA381395
SRR5431376	SAMN06675856	PRJNA381395
SRR5431378	SAMN06675854	PRJNA381395
SRR5431380	SAMN06675852	PRJNA381395
SRR5431407	SAMN06675828	PRJNA381395
SRR5431408	SAMN06675827	PRJNA381395
SRR5431437	SAMN06675801	PRJNA381395
SRR5431442	SAMN06675796	PRJNA381395
SRR5431462	SAMN06675777	PRJNA381395
SRR5431465	SAMN06675774	PRJNA381395
SRR5431474	SAMN06675765	PRJNA381395
SRR5431475	SAMN06675764	PRJNA381395
SRR5431480	SAMN06675759	PRJNA381395
SRR5431501	SAMN06675741	PRJNA381395
SRR5431502	SAMN06675740	PRJNA381395
SRR5431508	SAMN06675734	PRJNA381395
SRR5431538	SAMN06675704	PRJNA381395
SRR5431543	SAMN06675699	PRJNA381395
SRR5431547	SAMN06675695	PRJNA381395
SRR5431554	SAMN06675688	PRJNA381395
SRR5431556	SAMN06675686	PRJNA381395
SRR5431570	SAMN06678628	PRJNA381395
SRR5431571	SAMN06678628	PRJNA381395
SRR5431255	SAMN06675862	PRJNA381395
SRR5431266	SAMN06675902	PRJNA381395
SRR5431307	SAMN06675843	PRJNA381395
SRR5431348	SAMN06675884	PRJNA381395
SRR5431367	SAMN06675865	PRJNA381395
SRR5431369	SAMN06675863	PRJNA381395
SRR5431373	SAMN06675859	PRJNA381395
SRR5431374	SAMN06675858	PRJNA381395
SRR5431394	SAMN06675838	PRJNA381395
SRR5431404	SAMN06675830	PRJNA381395
SRR5431409	SAMN06675826	PRJNA381395
SRR5431413	SAMN06675822	PRJNA381395
SRR5431419	SAMN06675817	PRJNA381395
SRR5431422	SAMN06675814	PRJNA381395
SRR5431425	SAMN06675811	PRJNA381395
SRR5431439	SAMN06675799	PRJNA381395
SRR5431470	SAMN06675769	PRJNA381395
SRR5431528	SAMN06675714	PRJNA381395
SRR5431548	SAMN06675694	PRJNA381395
SRR5431559	SAMN06678628	PRJNA381395
SRR5431565	SAMN06678628	PRJNA381395
