alias,project_id,sample_id
DP204,PRJNA834801,SAMN28062020
DP201,PRJNA834801,SAMN28062017
DC056,PRJNA834801,SAMN28061663
DP187,PRJNA834801,SAMN28062006
DC048,PRJNA834801,SAMN28061658
DP135,PRJNA834801,SAMN28061963
DP132,PRJNA834801,SAMN28061962
DC044,PRJNA834801,SAMN28061657
DP112,PRJNA834801,SAMN28061948
DP111,PRJNA834801,SAMN28061947
DP080,PRJNA834801,SAMN28061924
DC039,PRJNA834801,SAMN28061654
DP079,PRJNA834801,SAMN28061923
DP071,PRJNA834801,SAMN28061916
DC038,PRJNA834801,SAMN28061653
DP068,PRJNA834801,SAMN28061913
DP063,PRJNA834801,SAMN28061908
DC281,PRJNA834801,SAMN28061833
DC274,PRJNA834801,SAMN28061829
DC271,PRJNA834801,SAMN28061827
DC026,PRJNA834801,SAMN28061644
DC004,PRJNA834801,SAMN28061626
DC263,PRJNA834801,SAMN28061820
DC261,PRJNA834801,SAMN28061819
DC249,PRJNA834801,SAMN28061812
DC241,PRJNA834801,SAMN28061805
DC023,PRJNA834801,SAMN28061642
DC234,PRJNA834801,SAMN28061802
DC232,PRJNA834801,SAMN28061801
DC178,PRJNA834801,SAMN28061761
DC176,PRJNA834801,SAMN28061759
DC174,PRJNA834801,SAMN28061757
DC173,PRJNA834801,SAMN28061756
DC172,PRJNA834801,SAMN28061755
DC170,PRJNA834801,SAMN28061753
DC169,PRJNA834801,SAMN28061752
DC168,PRJNA834801,SAMN28061751
DC161,PRJNA834801,SAMN28061745
DC104,PRJNA834801,SAMN28061701
DC103,PRJNA834801,SAMN28061700
DC100,PRJNA834801,SAMN28061697
SP1114,PRJNA834801,SAMN28062348
DP644,PRJNA834801,SAMN28062344
DC099,PRJNA834801,SAMN28061696
DP641,PRJNA834801,SAMN28062342
DP580,PRJNA834801,SAMN28062297
DP581,PRJNA834801,SAMN28062298
DP576,PRJNA834801,SAMN28062293
DP569,PRJNA834801,SAMN28062288
DP567,PRJNA834801,SAMN28062286
DP483,PRJNA834801,SAMN28062224
DC009,PRJNA834801,SAMN28061630
DP477,PRJNA834801,SAMN28062221
DP490,PRJNA834801,SAMN28062229
DP353,PRJNA834801,SAMN28062129
DP350,PRJNA834801,SAMN28062126
DP349,PRJNA834801,SAMN28062125
DP348,PRJNA834801,SAMN28062124
DC069,PRJNA834801,SAMN28061674
DP347,PRJNA834801,SAMN28062123
DP346,PRJNA834801,SAMN28062122
DP342,PRJNA834801,SAMN28062120
DP287,PRJNA834801,SAMN28062078
DP285,PRJNA834801,SAMN28062077
DP280,PRJNA834801,SAMN28062073
DP279,PRJNA834801,SAMN28062072
DP278,PRJNA834801,SAMN28062071
